,totalScore,location/lat,location/lng
0,3.8,19.4708718,-99.1212501
1,3.8,19.5572864,-99.1349649
2,3.9,19.4277586,-99.0970873
3,4.2,20.5459841,-100.4143976
4,4.1,19.5709433,-99.1946232
5,3.8,19.344153,-99.058786
6,3.9,19.545538,-99.1614476
7,4.0,19.6830783,-98.9794085
8,4.2,19.4766487,-99.0359629
9,3.9,19.4921189,-99.0741202
10,4.0,19.4098488,-99.1220166
11,4.0,19.4962757,-99.1847351
12,3.9,19.2558545,-99.0113233
13,4.1,19.5586059,-99.2032969
14,4.2,19.4842688,-99.2417258
15,4.0,19.424423,-99.1126435
16,4.0,19.5128246,-99.0364478
17,4.0,19.4804406,-99.0651657
18,4.3,19.3940997,-99.2083448
19,4.0,19.512831,-99.0364813
20,4.1,20.6548807,-100.4743574
21,4.1,19.4917878,-99.0564608
22,4.2,19.4424308,-99.1750687
23,4.0,19.5156853,-98.8837341
24,4.1,19.3136925,-99.2590159
25,3.9,19.0306931,-98.1957621
26,4.1,19.3443254,-99.0252416
27,3.9,18.9945124,-98.2434433
28,3.8,19.3908108,-99.1271554
29,4.2,18.8126687,-98.9509528
30,4.1,19.5050207,-99.1250364
31,3.7,19.4950448,-99.1254333
32,3.3,19.5192973,-99.0334432
33,3.9,19.350851,-99.0751305
34,4.1,19.493869,-99.0679
35,4.0,19.4812143,-99.0453092
36,3.8,19.3296776,-99.0729112
37,4.4,19.267856,-99.638953
38,4.1,19.6019715,-98.99144
39,4.2,19.4986344,-99.2530253
40,3.7,19.5360902,-99.0905394
41,3.9,19.3646041,-98.9856257
42,2.1,19.6669792,-99.1755852
43,4.2,19.456836,-99.0930643
44,3.9,19.3060687,-99.2483291
45,4.3,19.4429828,-99.0991003
46,3.9,19.5309251,-99.0295335
47,3.8,19.3787896,-99.2206768
48,4.1,19.3586749,-98.976894
49,3.7,19.4239147,-99.0655609
50,4.2,19.5181474,-99.1081385
51,4.1,19.3559075,-99.2995917
52,3.3,19.2551343,-99.0566193
53,3.9,19.3001042,-99.1743435
54,3.8,19.3554463,-99.2409031
55,4.1,19.2673456,-99.1710835
56,4.3,19.28529,-99.5431265
57,4.1,19.0485614,-98.1963702
58,3.9,19.0588244,-98.2174526
59,4.2,19.4822216,-99.1862241
60,4.0,19.5292813,-99.1419348
61,3.8,19.5067149,-99.0896392
62,4.3,19.4784133,-99.0516916
63,3.8,19.5293873,-99.2051449
64,3.9,19.4607298,-99.113037
65,3.9,19.4282672,-99.0571518
66,3.8,19.3630398,-99.2485236
67,3.8,19.3911174,-99.1173597
68,3.8,19.4848807,-99.0936947
69,3.8,19.3871644,-99.2772799
70,4.1,19.3330842,-99.1727581
71,3.9,19.309916,-99.069963
72,3.9,19.3448928,-99.0680059
73,3.9,19.3728284,-99.2852437
74,4.0,19.3354384,-99.1672308
75,4.4,19.2974792,-99.1519954
76,3.6,19.3424494,-99.2260425
77,3.8,19.3480256,-99.2317044
78,3.9,19.3655677,-99.2872306
79,4.0,19.4660767,-99.0924728
80,4.0,19.5698504,-99.0548151
81,4.3,19.3902999,-99.2595085
82,3.9,19.3434722,-99.0356317
83,4.2,19.4079132,-99.1393087
84,4.1,19.3106207,-99.1627821
85,4.1,19.4781812,-99.1997498
86,3.8,19.3818952,-99.1164785
87,4.4,19.4293123,-99.228406
88,4.1,19.4952577,-99.1255584
89,4.2,19.3103552,-99.2288696
90,4.2,19.4016379,-99.202702
91,4.2,19.3507404,-99.2205455
92,3.9,19.4723885,-99.0676432
93,4.1,19.5993439,-99.0104408
94,4.1,19.2803547,-99.184048
95,4.1,19.485126,-99.2623324
96,4.3,19.3475562,-99.202412
97,4.2,19.2926252,-99.1785299
98,4.1,19.2820532,-99.1653437
99,3.9,19.4636112,-99.1002273
100,3.9,19.6206159,-99.084617
101,4.2,19.5349714,-99.2317323
102,4.0,19.4009646,-99.1337026
103,3.7,19.3704961,-99.1418073
104,4.1,19.3424263,-99.0449724
105,4.1,20.5455056,-100.3988257
106,3.7,19.4693143,-99.1399068
107,4.2,19.3396823,-99.1482932
108,4.2,19.4102104,-99.1748438
109,4.3,19.3496914,-99.1616984
110,4.1,20.6512079,-100.4038193
111,3.7,19.4024496,-99.1786456
112,4.4,19.3641336,-99.1926596
113,4.4,20.5873557,-100.3849852
114,4.1,19.3939269,-99.1592343
115,4.2,19.4148239,-99.104135
116,4.3,20.5979802,-100.3811756
117,3.7,18.8859017,-99.0613875
118,4.1,20.58737,-100.3846836
119,3.9,19.6250992,-99.3156357
120,3.3,20.5876335,-100.3849916
121,4.5,20.5872921,-100.3846738
122,4.3,19.3954062,-99.1367536
123,4.2,19.4790537,-99.1192159
124,4.2,19.500587,-99.041797
